id,dataset,label_type,sccs,class,fold,superfamily,family,length
d1v9da_,SCOPe-ALL,family,a.207.1.1,a,a.207,a.207.1,a.207.1.1,332
d1un8a1,SCOPe-ALL,family,a.208.1.1,a,a.208,a.208.1,a.208.1.1,215
d3cr3a1,SCOPe-ALL,family,a.208.1.1,a,a.208,a.208.1,a.208.1.1,192
d3pnlb1,SCOPe-ALL,family,a.208.1.0,a,a.208,a.208.1,a.208.1.0,209
d1t5ja1,SCOPe-ALL,family,a.209.1.1,a,a.209,a.209.1,a.209.1.1,300
d2woea_,SCOPe-ALL,family,a.209.1.0,a,a.209,a.209.1,a.209.1.0,291
d1rf8b1,SCOPe-ALL,family,a.210.1.1,a,a.210,a.210.1,a.210.1.1,98
d2para_,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,186
d6ifka1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,229
d4uw2a1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,220
d1ynba1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,167
d2heka1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,369
d2gz4a1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,200
d2hona_,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,454
d2pq7a1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,217
d1vj7a1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,192
d3b57a1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,201
d2pjqa1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,215
d2qgsa1,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,216
d2cqza_,SCOPe-ALL,family,a.211.1.1,a,a.211,a.211.1,a.211.1.1,173
d1taza_,SCOPe-ALL,family,a.211.1.2,a,a.211,a.211.1,a.211.1.2,357
d1y2ka_,SCOPe-ALL,family,a.211.1.2,a,a.211,a.211.1,a.211.1.2,326
d1so2a_,SCOPe-ALL,family,a.211.1.2,a,a.211,a.211.1,a.211.1.2,415
d1tbfa_,SCOPe-ALL,family,a.211.1.2,a,a.211,a.211.1,a.211.1.2,326
d3dy8a2,SCOPe-ALL,family,a.211.1.2,a,a.211,a.211.1,a.211.1.2,324
d1vqra1,SCOPe-ALL,family,a.211.1.3,a,a.211,a.211.1,a.211.1.3,285
d2ibna1,SCOPe-ALL,family,a.211.1.4,a,a.211,a.211.1,a.211.1.4,248
d1u6za1,SCOPe-ALL,family,a.211.1.5,a,a.211,a.211.1,a.211.1.5,197
d5bq9a1,SCOPe-ALL,family,a.211.1.6,a,a.211,a.211.1,a.211.1.6,293
d4qqwa1,SCOPe-ALL,family,a.211.1.7,a,a.211,a.211.1,a.211.1.7,246
d4w8ya1,SCOPe-ALL,family,a.211.1.8,a,a.211,a.211.1,a.211.1.8,216
d5tk8a_,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,191
d5dqva_,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,204
d6pbza3,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,189
d2ousa1,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,323
d1zkla_,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,317
d1z1la1,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,338
d3ecma_,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,338
d2r8qa_,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,335
d3m1ta1,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,274
d3v93a_,SCOPe-ALL,family,a.211.1.0,a,a.211,a.211.1,a.211.1.0,332
d1v65a1,SCOPe-ALL,family,a.212.1.1,a,a.212,a.212.1,a.212.1.1,51
d1rxqa_,SCOPe-ALL,family,a.213.1.1,a,a.213,a.213.1,a.213.1.1,174
d2p1aa1,SCOPe-ALL,family,a.213.1.2,a,a.213,a.213.1,a.213.1.2,142
d2f22a1,SCOPe-ALL,family,a.213.1.2,a,a.213,a.213.1,a.213.1.2,141
d2ou6a1,SCOPe-ALL,family,a.213.1.2,a,a.213,a.213.1,a.213.1.2,183
d2hkva1,SCOPe-ALL,family,a.213.1.2,a,a.213,a.213.1,a.213.1.2,147
d2oqma1,SCOPe-ALL,family,a.213.1.3,a,a.213,a.213.1,a.213.1.3,171
d2nsfa1,SCOPe-ALL,family,a.213.1.4,a,a.213,a.213.1,a.213.1.4,160
d1ojha_,SCOPe-ALL,family,a.214.1.1,a,a.214,a.214.1,a.214.1.1,52
d1sj7a1,SCOPe-ALL,family,a.215.1.1,a,a.215,a.215.1,a.215.1.1,167
d1r0da_,SCOPe-ALL,family,a.216.1.1,a,a.216,a.216.1,a.216.1.1,194
d1sj8a2,SCOPe-ALL,family,a.216.1.1,a,a.216,a.216.1,a.216.1.1,125
d1u89a1,SCOPe-ALL,family,a.216.1.1,a,a.216,a.216.1,a.216.1.1,135
d1x4pa1,SCOPe-ALL,family,a.217.1.1,a,a.217,a.217.1,a.217.1.1,53
d2dt6a1,SCOPe-ALL,family,a.217.1.1,a,a.217,a.217.1,a.217.1.1,63
d2dt7b1,SCOPe-ALL,family,a.217.1.1,a,a.217,a.217.1,a.217.1.1,84
d1x4oa1,SCOPe-ALL,family,a.217.1.1,a,a.217,a.217.1,a.217.1.1,65
d1puza_,SCOPe-ALL,family,a.218.1.1,a,a.218,a.218.1,a.218.1.1,82
d1x6ia1,SCOPe-ALL,family,a.218.1.0,a,a.218,a.218.1,a.218.1.0,88
d1seda_,SCOPe-ALL,family,a.219.1.1,a,a.219,a.219.1,a.219.1.1,112
d2q3ta_,SCOPe-ALL,family,a.220.1.1,a,a.220,a.220.1,a.220.1.1,121
d1uuja_,SCOPe-ALL,family,a.221.1.1,a,a.221,a.221.1,a.221.1.1,76
d2ot3a_,SCOPe-ALL,family,a.222.1.1,a,a.222,a.222.1,a.222.1.1,253
d1w26a1,SCOPe-ALL,family,a.223.1.1,a,a.223,a.223.1,a.223.1.1,185
d1m5ya1,SCOPe-ALL,family,a.223.1.2,a,a.223,a.223.1,a.223.1.2,174
d4gh0a_,SCOPe-ALL,family,a.224.1.1,a,a.224,a.224.1,a.224.1.1,200
d1tm9a_,SCOPe-ALL,family,a.225.1.1,a,a.225,a.225.1,a.225.1.1,137
d1szha1,SCOPe-ALL,family,a.226.1.1,a,a.226,a.226.1,a.226.1.1,146
d3m31a1,SCOPe-ALL,family,a.227.1.1,a,a.227,a.227.1,a.227.1.1,369
d1q8da_,SCOPe-ALL,family,a.228.1.1,a,a.228,a.228.1,a.228.1.1,108
d1xn8a_,SCOPe-ALL,family,a.229.1.1,a,a.229,a.229.1,a.229.1.1,131
d1u84a_,SCOPe-ALL,family,a.230.1.1,a,a.230,a.230.1,a.230.1.1,81
d1xoua_,SCOPe-ALL,family,a.231.1.1,a,a.231,a.231.1,a.231.1.1,160
d1xoub_,SCOPe-ALL,family,a.231.1.2,a,a.231,a.231.1,a.231.1.2,84
d1xlya_,SCOPe-ALL,family,a.232.1.1,a,a.232,a.232.1,a.232.1.1,232
d1wpba_,SCOPe-ALL,family,a.233.1.1,a,a.233,a.233.1,a.233.1.1,168
d1td6a_,SCOPe-ALL,family,a.234.1.1,a,a.234,a.234.1,a.234.1.1,286
d1x9na1,SCOPe-ALL,family,a.235.1.1,a,a.235,a.235.1,a.235.1.1,272
d6cbra1,SCOPe-ALL,family,a.236.1.1,a,a.236,a.236.1,a.236.1.1,139
d4im9a_,SCOPe-ALL,family,a.236.1.0,a,a.236,a.236.1,a.236.1.0,132
d2idob_,SCOPe-ALL,family,a.237.1.1,a,a.237,a.237.1,a.237.1.1,75
d1urua_,SCOPe-ALL,family,a.238.1.1,a,a.238,a.238.1,a.238.1.1,217
d2d4ca1,SCOPe-ALL,family,a.238.1.1,a,a.238,a.238.1,a.238.1.1,237
d2q13a1,SCOPe-ALL,family,a.238.1.1,a,a.238,a.238.1,a.238.1.1,269
d1i4ta_,SCOPe-ALL,family,a.238.1.2,a,a.238,a.238.1,a.238.1.2,195
d1y2oa1,SCOPe-ALL,family,a.238.1.3,a,a.238,a.238.1,a.238.1.3,248
d2efka1,SCOPe-ALL,family,a.238.1.4,a,a.238,a.238.1,a.238.1.4,279
d4atma_,SCOPe-ALL,family,a.238.1.0,a,a.238,a.238.1,a.238.1.0,221
d3ok8a_,SCOPe-ALL,family,a.238.1.0,a,a.238,a.238.1,a.238.1.0,219
d1sg7a1,SCOPe-ALL,family,a.239.1.1,a,a.239,a.239.1,a.239.1.1,75
d1x3aa1,SCOPe-ALL,family,a.240.1.1,a,a.240,a.240.1,a.240.1.1,87
d2diia1,SCOPe-ALL,family,a.240.1.1,a,a.240,a.240.1,a.240.1.1,48
d2g7oa1,SCOPe-ALL,family,a.241.1.1,a,a.241,a.241.1,a.241.1.1,68
d2qklb_,SCOPe-ALL,family,a.242.1.1,a,a.242,a.242.1,a.242.1.1,90
d1xl3c1,SCOPe-ALL,family,a.243.1.1,a,a.243,a.243.1,a.243.1.1,91
d1z21a1,SCOPe-ALL,family,a.243.1.2,a,a.243,a.243.1,a.243.1.2,104
d1xkpa1,SCOPe-ALL,family,a.243.1.3,a,a.243,a.243.1,a.243.1.3,197
d2au5a1,SCOPe-ALL,family,a.244.1.1,a,a.244,a.244.1,a.244.1.1,132
d1yiba1,SCOPe-ALL,family,a.245.1.1,a,a.245,a.245.1,a.245.1.1,61
d2choa1,SCOPe-ALL,family,a.246.1.1,a,a.246,a.246.1,a.246.1.1,154
d2v5ca3,SCOPe-ALL,family,a.246.1.1,a,a.246,a.246.1,a.246.1.1,129
d2ijqa1,SCOPe-ALL,family,a.246.2.1,a,a.246,a.246.2,a.246.2.1,145
d2cwya1,SCOPe-ALL,family,a.246.2.1,a,a.246,a.246.2,a.246.2.1,94
d2gnxa1,SCOPe-ALL,family,a.246.3.1,a,a.246,a.246.3,a.246.3.1,172
d2es9a1,SCOPe-ALL,family,a.247.1.1,a,a.247,a.247.1,a.247.1.1,97
d2fi0a1,SCOPe-ALL,family,a.248.1.1,a,a.248,a.248.1,a.248.1.1,79
d2euca1,SCOPe-ALL,family,a.249.1.1,a,a.249,a.249.1,a.249.1.1,113
d3nfta_,SCOPe-ALL,family,a.250.1.1,a,a.250,a.250.1,a.250.1.1,271
d3r9va_,SCOPe-ALL,family,a.250.1.1,a,a.250,a.250.1,a.250.1.1,198
d2bnka_,SCOPe-ALL,family,a.251.1.1,a,a.251,a.251.1,a.251.1.1,64
d1ykhb1,SCOPe-ALL,family,a.252.1.1,a,a.252,a.252.1,a.252.1.1,129
d1ykha_,SCOPe-ALL,family,a.252.1.2,a,a.252,a.252.1,a.252.1.2,95
d1yoza1,SCOPe-ALL,family,a.253.1.1,a,a.253,a.253.1,a.253.1.1,114
d2fefa2,SCOPe-ALL,family,a.254.1.1,a,a.254,a.254.1,a.254.1.1,159
d2d2ya_,SCOPe-ALL,family,a.255.1.1,a,a.255,a.255.1,a.255.1.1,140
d2dwka_,SCOPe-ALL,family,a.256.1.1,a,a.256,a.256.1,a.256.1.1,169
d2fm9a1,SCOPe-ALL,family,a.257.1.1,a,a.257,a.257.1,a.257.1.1,215
d2apla1,SCOPe-ALL,family,a.258.1.1,a,a.258,a.258.1,a.258.1.1,149
d1z67a1,SCOPe-ALL,family,a.259.1.1,a,a.259,a.259.1,a.259.1.1,129
d2gtta1,SCOPe-ALL,family,a.260.1.1,a,a.260,a.260.1,a.260.1.1,443
d2qvja_,SCOPe-ALL,family,a.260.1.1,a,a.260,a.260.1,a.260.1.1,421
d1z3xa2,SCOPe-ALL,family,a.261.1.1,a,a.261,a.261.1,a.261.1.1,148
d1zt2b1,SCOPe-ALL,family,a.262.1.1,a,a.262,a.262.1,a.262.1.1,207
d2ex3b1,SCOPe-ALL,family,a.263.1.1,a,a.263,a.263.1,a.263.1.1,189
d1zroa1,SCOPe-ALL,family,a.264.1.1,a,a.264,a.264.1,a.264.1.1,275
d1zroa2,SCOPe-ALL,family,a.264.1.1,a,a.264,a.264.1,a.264.1.1,319
d3rrca1,SCOPe-ALL,family,a.264.1.1,a,a.264,a.264.1,a.264.1.1,298
d5ckla1,SCOPe-ALL,family,a.265.1.1,a,a.265,a.265.1,a.265.1.1,180
d6wjya_,SCOPe-ALL,family,a.266.1.2,a,a.266,a.266.1,a.266.1.2,392
d2nwba1,SCOPe-ALL,family,a.266.1.2,a,a.266,a.266.1,a.266.1.2,388
d2nw8a_,SCOPe-ALL,family,a.266.1.0,a,a.266,a.266.1,a.266.1.0,266
d2csba5,SCOPe-ALL,family,a.267.1.1,a,a.267,a.267.1,a.267.1.1,291
d2ixoa1,SCOPe-ALL,family,a.268.1.1,a,a.268,a.268.1,a.268.1.1,316
d2ixna1,SCOPe-ALL,family,a.268.1.1,a,a.268,a.268.1,a.268.1.1,297
d2ixma1,SCOPe-ALL,family,a.268.1.1,a,a.268,a.268.1,a.268.1.1,300
d3kdse2,SCOPe-ALL,family,a.269.1.1,a,a.269,a.269.1,a.269.1.1,201
d2bw3a1,SCOPe-ALL,family,a.270.1.1,a,a.270,a.270.1,a.270.1.1,84
d2c9wa1,SCOPe-ALL,family,a.271.1.1,a,a.271,a.271.1,a.271.1.1,50
d2izva1,SCOPe-ALL,family,a.271.1.1,a,a.271,a.271.1,a.271.1.1,44
d2nn4a1,SCOPe-ALL,family,a.272.1.1,a,a.272,a.272.1,a.272.1.1,61
d2db7a1,SCOPe-ALL,family,a.273.1.1,a,a.273,a.273.1,a.273.1.1,55
d2y0ta_,SCOPe-ALL,family,a.274.1.1,a,a.274,a.274.1,a.274.1.1,52
d2i5ua1,SCOPe-ALL,family,a.275.1.1,a,a.275,a.275.1,a.275.1.1,74
d2oy9a1,SCOPe-ALL,family,a.276.1.1,a,a.276,a.276.1,a.276.1.1,85
d2pp4a1,SCOPe-ALL,family,a.277.1.1,a,a.277,a.277.1,a.277.1.1,107
d2p6va1,SCOPe-ALL,family,a.277.1.1,a,a.277,a.277.1,a.277.1.1,97
d2q9qc_,SCOPe-ALL,family,a.278.1.1,a,a.278,a.278.1,a.278.1.1,145
d2q9qa1,SCOPe-ALL,family,a.278.1.2,a,a.278,a.278.1,a.278.1.2,114
d2q9qd1,SCOPe-ALL,family,a.278.1.3,a,a.278,a.278.1,a.278.1.3,106
d2q9qb1,SCOPe-ALL,family,a.278.1.4,a,a.278,a.278.1,a.278.1.4,145
d2pyqa1,SCOPe-ALL,family,a.279.1.1,a,a.279,a.279.1,a.279.1.1,113
d3ka1a_,SCOPe-ALL,family,a.280.1.1,a,a.280,a.280.1,a.280.1.1,114
d4gr6a_,SCOPe-ALL,family,a.280.1.0,a,a.280,a.280.1,a.280.1.0,104
d4gr2a_,SCOPe-ALL,family,a.280.1.0,a,a.280,a.280.1,a.280.1.0,110
d2piha1,SCOPe-ALL,family,a.281.1.1,a,a.281,a.281.1,a.281.1.1,123
d2iaza1,SCOPe-ALL,family,a.281.1.2,a,a.281,a.281.1,a.281.1.2,111
d2oeea1,SCOPe-ALL,family,a.281.1.2,a,a.281,a.281.1,a.281.1.2,110
d2gqba1,SCOPe-ALL,family,a.282.1.1,a,a.282,a.282.1,a.282.1.1,130
d1uz3a_,SCOPe-ALL,family,a.283.1.1,a,a.283,a.283.1,a.283.1.1,102
d2otaa1,SCOPe-ALL,family,a.284.1.1,a,a.284,a.284.1,a.284.1.1,62
d2jrxa1,SCOPe-ALL,family,a.284.1.1,a,a.284,a.284.1,a.284.1.1,75
d3brja1,SCOPe-ALL,family,a.285.1.1,a,a.285,a.285.1,a.285.1.1,167
d2hkta_,SCOPe-ALL,family,a.285.1.1,a,a.285,a.285.1,a.285.1.1,168
d2pv4a1,SCOPe-ALL,family,a.286.1.1,a,a.286,a.286.1,a.286.1.1,144
d2ou3a1,SCOPe-ALL,family,a.287.1.1,a,a.287,a.287.1,a.287.1.1,160
d2h5na1,SCOPe-ALL,family,a.287.1.2,a,a.287,a.287.1,a.287.1.2,132
d2o8ia1,SCOPe-ALL,family,a.288.1.1,a,a.288,a.288.1,a.288.1.1,165
d2q37a1,SCOPe-ALL,family,a.288.1.1,a,a.288,a.288.1,a.288.1.1,155
d2o70a1,SCOPe-ALL,family,a.288.1.1,a,a.288,a.288.1,a.288.1.1,165
d2q0zx1,SCOPe-ALL,family,a.289.1.1,a,a.289,a.289.1,a.289.1.1,176
d2p6ra2,SCOPe-ALL,family,a.289.1.2,a,a.289,a.289.1,a.289.1.2,198
d2xaua4,SCOPe-ALL,family,a.289.1.0,a,a.289,a.289.1,a.289.1.0,114
d2p0ta1,SCOPe-ALL,family,a.290.1.1,a,a.290,a.290.1,a.290.1.1,148
d2i15a1,SCOPe-ALL,family,a.291.1.1,a,a.291,a.291.1,a.291.1.1,129
d2oufa_,SCOPe-ALL,family,a.292.1.1,a,a.292,a.292.1,a.292.1.1,80
d3fyba1,SCOPe-ALL,family,a.293.1.0,a,a.293,a.293.1,a.293.1.0,97
d3bzca3,SCOPe-ALL,family,a.294.1.1,a,a.294,a.294.1,a.294.1.1,324
d2o8sa1,SCOPe-ALL,family,a.295.1.1,a,a.295,a.295.1,a.295.1.1,225
d2ebfx1,SCOPe-ALL,family,a.296.1.1,a,a.296,a.296.1,a.296.1.1,300
d2b5la3,SCOPe-ALL,family,a.297.1.1,a,a.297,a.297.1,a.297.1.1,97
d4cj9a_,SCOPe-ALL,family,a.298.1.1,a,a.298,a.298.1,a.298.1.1,752
d3v6ta_,SCOPe-ALL,family,a.298.1.1,a,a.298,a.298.1,a.298.1.1,491
d2kq5a_,SCOPe-ALL,family,a.298.1.1,a,a.298,a.298.1,a.298.1.1,51
d3ov9a_,SCOPe-ALL,family,a.299.1.1,a,a.299,a.299.1,a.299.1.1,245
d3mwpa2,SCOPe-ALL,family,a.300.1.1,a,a.300,a.300.1,a.300.1.1,332
d4dhxb_,SCOPe-ALL,family,a.301.1.1,a,a.301,a.301.1,a.301.1.1,91
d3mhsb_,SCOPe-ALL,family,a.301.1.1,a,a.301,a.301.1,a.301.1.1,91
d5id6a4,SCOPe-ALL,family,a.302.1.1,a,a.302,a.302.1,a.302.1.1,94
d2giya1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,173
d1hnfa1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,101
d1ccza1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,93
d1yjdc1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,118
d4h8wc1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,97
d1cida1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,105
d2atpb1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,115
d1dr9a1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,105
d5yxka1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,109
d1f5wa_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,124
d1tjgh1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,132
d1mexh1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,109
d1ncwl1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,112
d2ap2a1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,251
d1mfal1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,111
d5e56a_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,116
d1f97a1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,102
d2crya1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,109
d1neua_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,119
d1pkoa1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,125
d1nkoa_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,127
d1qfoa_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,118
d1hkfa_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,108
d6umua_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,116
d1ogad1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,115
d1kgcd1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,112
d2ak4d1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,114
d1kgce1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,112
d1tvda_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,116
d1hxmb1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,123
d1hxma1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,120
d1ypzf1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,120
d2gj6d1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,94
d1kj2b_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,117
d1smoa_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,113
d1rhfa1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,91
d2p45b_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,121
d6lsaa_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,109
d4hgma_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,103
d4nzuh_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,225
d2hp4a_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,114
d3w9ec_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,229
d4gqph_,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,240
d3r4da1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,107
d2i24n1,SCOPe-ALL,family,b.1.1.1,b,b.1,b.1.1,b.1.1.1,111
d1k5nb1,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,99
d1k5na1,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,95
d1uvqb1,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,97
d1mexh2,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,101
d1mexl2,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,106
d1u58a1,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,98
d2nw2a2,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,89
d2bc4a2,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,104
d2bc4b2,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,100
d4lfhg2,SCOPe-ALL,family,b.1.1.2,b,b.1,b.1.1,b.1.1.2,113
d1ccza2,SCOPe-ALL,family,b.1.1.3,b,b.1,b.1.1,b.1.1.3,78
d4h8wc2,SCOPe-ALL,family,b.1.1.3,b,b.1,b.1.1,b.1.1.3,79
d1cida2,SCOPe-ALL,family,b.1.1.3,b,b.1,b.1.1,b.1.1.3,72
d1dr9a2,SCOPe-ALL,family,b.1.1.3,b,b.1,b.1.1,b.1.1.3,95
d2d9qb1,SCOPe-ALL,family,b.1.1.3,b,b.1,b.1.1,b.1.1.3,94
d1vcaa1,SCOPe-ALL,family,b.1.1.3,b,b.1,b.1.1,b.1.1.3,109
d1cs6a1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,97
d1cs6a2,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,105
d1cs6a3,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,91
d1cs6a4,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,89
d1xaua_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,104
d3cx2a_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,108
d2k1ma_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,95
d1gxea_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,130
d1xiwb_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,74
d1xiwa_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,91
d1jbja1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,86
d3cafa_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,100
d1biha1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,94
d1biha2,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,111
d1biha3,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,97
d1biha4,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,89
d1wwwx_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,101
d2ifga1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,92
d1ucta1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,99
d1ucta2,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,96
d1f2qa1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,82
d1f2qa2,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,89
d1iama2,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,82
d1zxqa2,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,86
d1n26a1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,93
d1f97a2,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,110
d1m4ka1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,96
d1ie5a1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,106
d1wwca_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,105
d1gl4b_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,89
d2c9aa1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,96
d1fltx_,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,95
d1olza1,SCOPe-ALL,family,b.1.1.4,b,b.1,b.1.1,b.1.1.4,92
